timestamp,pid,cpu_percent,mem_percent,rss_kb,threads
2026-09-12T23:50:05,3486,83.3,1.1,58100,11
2026-09-12T23:50:06,3486,90.1,2.4,124332,11
2026-09-12T23:50:07,3486,91.2,8.1,408672,11
2026-09-12T23:50:08,3486,92.0,18.0,908896,11
2026-09-12T23:50:10,3486,93.0,20.2,1018716,11
2026-09-12T23:50:11,3486,93.2,22.4,1131988,11
2026-09-12T23:50:12,3486,93.1,31.6,1594172,11
2026-09-12T23:50:13,3486,94.4,34.6,1744480,11
2026-09-12T23:50:16,3486,95.1,38.7,1949280,11
2026-09-12T23:50:17,3486,95.0,39.8,2008256,11
2026-09-12T23:50:18,3486,95.0,41.5,2094588,11
2026-09-12T23:50:20,3486,95.8,43.9,2212984,11
2026-09-12T23:50:21,3486,94.9,46.7,2355604,11
2026-09-12T23:50:22,3486,94.7,49.7,2506340,11
2026-09-12T23:50:23,3486,94.6,53.0,2673500,11
2026-09-12T23:50:25,3486,94.0,56.2,2834108,11
2026-09-12T23:50:26,3486,94.2,57.9,2917484,11
2026-09-12T23:50:29,3486,94.5,59.0,2974652,11
2026-09-12T23:50:31,3486,94.0,59.9,3017696,11
2026-09-12T23:50:32,3486,94.1,59.9,3019344,11
2026-09-12T23:50:33,3486,94.2,60.0,3026388,11
2026-09-12T23:50:34,3486,94.0,60.2,3035852,11
2026-09-12T23:50:35,3486,93.9,63.5,3199808,11
2026-09-12T23:50:37,3486,94.0,63.8,3217332,11
2026-09-12T23:50:38,3486,94.0,64.3,3242476,11
2026-09-12T23:50:39,3486,94.0,65.2,3286852,11
2026-09-12T23:50:40,3486,94.1,67.4,3397092,11
2026-09-12T23:50:40,3486,94.0,69.9,3521500,11
2026-09-12T23:50:41,3486,95.3,70.7,3563596,11
2026-09-12T23:50:43,3486,94.4,71.5,3601204,11
2026-09-12T23:50:45,3486,94.1,73.3,3691860,11
2026-09-12T23:50:46,3486,94.5,74.6,3760568,14
2026-09-12T23:50:47,3486,100.0,74.6,3761436,14
2026-09-12T23:50:48,3486,108.0,74.6,3761444,14
2026-09-12T23:50:49,3486,114.0,74.6,3761448,14
2026-09-12T23:50:50,3486,119.0,74.6,3761480,14
2026-09-12T23:50:51,3486,121.0,77.3,3895112,14
2026-09-12T23:50:53,3486,120.0,79.5,4006188,14
2026-09-12T23:50:55,3486,119.0,80.0,4032904,14
2026-09-12T23:50:56,3486,118.0,78.2,3940032,14
2026-09-12T23:50:58,3486,118.0,77.9,3923500,14
2026-09-12T23:50:59,3486,117.0,79.1,3984608,14
2026-09-12T23:51:00,3486,116.0,79.4,4000748,14
2026-09-12T23:51:01,3486,116.0,78.9,3973936,14
2026-09-12T23:51:02,3486,115.0,78.2,3940136,14
2026-09-12T23:51:03,3486,115.0,76.8,3870716,14
2026-09-12T23:51:05,3486,115.0,79.4,4001884,14
2026-09-12T23:51:07,3486,115.0,78.5,3956700,14
2026-09-12T23:51:08,3486,119.0,77.8,3918640,14
2026-09-12T23:51:09,3486,123.0,77.7,3914440,14
2026-09-12T23:51:08,3486,123.0,74.8,3769816,15
2026-09-12T23:51:09,3486,121.0,74.0,3730552,15
2026-09-12T23:51:11,3486,120.0,74.0,3727736,15
2026-09-12T23:51:12,3486,124.0,74.0,3728484,15
2026-09-12T23:51:13,3486,128.0,74.0,3728880,15
2026-09-12T23:51:14,3486,131.0,74.0,3728992,15
2026-09-12T23:51:15,3486,135.0,73.9,3722844,15
2026-09-12T23:51:16,3486,138.0,73.6,3707192,15
2026-09-12T23:51:17,3486,141.0,73.6,3707252,15
2026-09-12T23:51:18,3486,144.0,73.6,3707280,15
2026-09-12T23:51:19,3486,147.0,73.3,3695940,15
2026-09-12T23:51:20,3486,150.0,72.3,3640916,15
2026-09-12T23:51:21,3486,153.0,71.9,3623748,15
2026-09-12T23:51:22,3486,156.0,71.9,3623832,15
2026-09-12T23:51:23,3486,159.0,71.9,3623916,15
2026-09-12T23:51:24,3486,161.0,71.9,3624072,15
2026-09-12T23:51:25,3486,164.0,71.9,3624180,15
2026-09-12T23:51:26,3486,166.0,71.9,3624256,15
2026-09-12T23:51:27,3486,169.0,71.9,3624336,15
2026-09-12T23:51:28,3486,171.0,71.9,3624420,15
2026-09-12T23:51:29,3486,173.0,71.9,3624516,15
2026-09-12T23:51:30,3486,175.0,71.9,3624596,15
2026-09-12T23:51:31,3486,178.0,71.9,3624660,15
2026-09-12T23:51:32,3486,180.0,71.7,3612792,15
2026-09-12T23:51:33,3486,182.0,71.7,3612880,15
2026-09-12T23:51:34,3486,184.0,71.7,3612972,15
2026-09-12T23:51:35,3486,186.0,71.7,3613048,15
2026-09-12T23:51:36,3486,188.0,71.7,3613080,15
2026-09-12T23:51:37,3486,190.0,71.7,3613148,15
2026-09-12T23:51:37,3486,192.0,71.7,3613168,15
2026-09-12T23:51:37,3486,194.0,71.6,3607260,15
2026-09-12T23:51:38,3486,196.0,71.6,3607284,15
2026-09-12T23:51:39,3486,198.0,71.6,3606656,15
2026-09-12T23:51:40,3486,200.0,71.6,3606732,15
2026-09-12T23:51:41,3486,201.0,71.6,3606816,15
2026-09-12T23:51:42,3486,203.0,71.6,3606884,15
2026-09-12T23:51:43,3486,205.0,71.6,3606888,15
2026-09-12T23:51:44,3486,206.0,71.6,3606964,15
2026-09-12T23:51:46,3486,208.0,71.6,3607048,15
2026-09-12T23:51:47,3486,210.0,71.6,3607100,15
2026-09-12T23:51:48,3486,211.0,71.6,3607136,15
2026-09-12T23:51:49,3486,213.0,71.5,3605108,15
2026-09-12T23:51:50,3486,214.0,71.5,3603960,15
2026-09-12T23:51:51,3486,216.0,71.5,3603992,15
2026-09-12T23:51:52,3486,217.0,71.5,3604004,15
