% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 66.89    3.708640        1440      2575       442 futex
 14.08    0.780693         438      1779           epoll_pwait
 13.75    0.762293         278      2734           nanosleep
  2.14    0.118837          54      2189         4 write
  0.75    0.041508          59       700           ioctl
  0.65    0.035774         154       231        11 rt_sigreturn
  0.32    0.017647          46       381        62 read
  0.15    0.008166         125        65           rt_sigprocmask
  0.15    0.008054          35       229           tgkill
  0.14    0.007762          81        95           mmap
  0.14    0.007625         238        32           pselect6
  0.13    0.007091          52       135           sched_yield
  0.09    0.004863          21       229           getpid
  0.07    0.003629         362        10           clone3
  0.06    0.003581         162        22           sigaltstack
  0.06    0.003528         168        21         4 openat
  0.06    0.003306          61        54           pread64
  0.06    0.003057          87        35        15 newfstatat
  0.04    0.002446          84        29           mprotect
  0.04    0.002282          50        45           sched_getaffinity
  0.03    0.001854         168        11           munmap
  0.03    0.001812         453         4           readlinkat
  0.03    0.001803         163        11           gettid
  0.03    0.001407         127        11           rseq
  0.03    0.001404          36        39           prctl
  0.02    0.001041          94        11           set_robust_list
  0.02    0.001030         206         5           setsockopt
  0.01    0.000764         191         4         2 epoll_ctl
  0.01    0.000506         506         1           execve
  0.01    0.000438          31        14           fcntl
  0.01    0.000422         105         4           getdents64
  0.01    0.000332         332         1           getsockopt
  0.01    0.000328          82         4           prlimit64
  0.01    0.000290          18        16           close
  0.00    0.000135         135         1           getpeername
  0.00    0.000126         126         1           getsockname
  0.00    0.000076           0       114           rt_sigaction
  0.00    0.000063           6        10           fstat
  0.00    0.000052          17         3           brk
  0.00    0.000043          43         1           epoll_create1
  0.00    0.000041          41         1           eventfd2
  0.00    0.000026          26         1         1 access
  0.00    0.000001           1         1           arch_prctl
  0.00    0.000001           1         1           set_tid_address
  0.00    0.000001           1         1           getrandom
  0.00    0.000000           0         2           madvise
  0.00    0.000000           0         1           socket
  0.00    0.000000           0         1         1 connect
  0.00    0.000000           0         1           getpgid
------ ----------- ----------- --------- --------- ------------------
100.00    5.544778         467     11866       542 total
