% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 87.44 1085.295196      127696      8499       545 futex
 11.73  145.595287     2173063        67         1 accept4
  0.37    4.644160         282     16445       478 read
  0.19    2.302065        1446      1591           epoll_pwait
  0.15    1.869153         327      5710           nanosleep
  0.05    0.586383          40     14631           lseek
  0.02    0.196926         123      1589           poll
  0.01    0.094574         104       904           write
  0.01    0.067685         128       528           setsockopt
  0.00    0.048622         191       254           tgkill
  0.00    0.039469         149       264           close
  0.00    0.038669         568        68        68 connect
  0.00    0.034621         136       254           getpid
  0.00    0.033113         130       254        16 rt_sigreturn
  0.00    0.030326         157       193        47 epoll_ctl
  0.00    0.027049         133       203           sched_yield
  0.00    0.026565          93       285        30 stat
  0.00    0.026418         203       130           getpeername
  0.00    0.015131         116       130        66 shutdown
  0.00    0.013861         106       130           recvfrom
  0.00    0.013752          33       412           sendto
  0.00    0.013633         194        70           socket
  0.00    0.013412         101       132           getsockname
  0.00    0.011043         162        68           getsockopt
  0.00    0.010764          41       257           fcntl
  0.00    0.008590          39       217           mmap
  0.00    0.007267         142        51           rt_sigprocmask
  0.00    0.007161        7161         1           clone
  0.00    0.006738          47       142        17 openat
  0.00    0.006091          66        92           getdents64
  0.00    0.006067         178        34           pread64
  0.00    0.005556          92        60           rt_sigaction
  0.00    0.004368          52        84           fstat
  0.00    0.003901          79        49           munmap
  0.00    0.003753         268        14           clone3
  0.00    0.003672         114        32           sched_getaffinity
  0.00    0.002642          97        27           prctl
  0.00    0.002329          35        66           mprotect
  0.00    0.001941         129        15           set_robust_list
  0.00    0.001860         124        15           rseq
  0.00    0.001723           4       363           brk
  0.00    0.001556          23        65         4 newfstatat
  0.00    0.001442          90        16           getcwd
  0.00    0.001412          94        15           readlink
  0.00    0.001227        1227         1           restart_syscall
  0.00    0.000807         201         4           madvise
  0.00    0.000746         746         1           clock_nanosleep
  0.00    0.000528         528         1           execve
  0.00    0.000416         104         4         4 ioctl
  0.00    0.000344         114         3           dup3
  0.00    0.000224         112         2           readlinkat
  0.00    0.000213         106         2           bind
  0.00    0.000163          54         3           prlimit64
  0.00    0.000151          75         2           getrandom
  0.00    0.000114         114         1           gettid
  0.00    0.000103          51         2           listen
  0.00    0.000071          35         2           pipe2
  0.00    0.000062          10         6           sysinfo
  0.00    0.000049          49         1           set_tid_address
  0.00    0.000048          48         1           arch_prctl
  0.00    0.000042          21         2           sigaltstack
  0.00    0.000000           0         1         1 access
------ ----------- ----------- --------- --------- ------------------
100.00 1241.131254       22787     54465      1277 total
